target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,method,K,executed,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,temperature,min_hamming_to_train,unique_fraction,ratio_1000shots,max_ratio_any_sample,sampled,filter_spearman
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator+filter_T1.0,100,100,0.04706170203924957,0.9284645057607497,0.6333333333333333,0.6333333333333333,0.6385542168674698,0.8313253012048193,0.048350204969453206,0.2121403059932279,1.0,,,,,1000.0,-0.2126752785247791
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator_T0.7,1,1,0.061607843149749535,1.0579217644414884,0.5746666666666667,0.5793333333333333,0.6190361445783131,0.8313253012048188,0.06229607421352414,0.21214030599322786,0.7,2.32,0.53,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator_T0.7,10,10,0.05011586465019381,0.9579443866705375,0.6433333333333333,0.6433333333333333,0.6000000000000001,0.8313253012048193,0.05045427212839469,0.21214030599322792,0.7,2.32,0.53,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator_T0.7,100,100,0.04723688040627885,0.9301909182609089,0.6666666666666666,0.6666666666666666,0.6385542168674698,0.8313253012048193,0.052565228757525936,0.2121403059932279,0.7,2.32,0.53,0.5843373493975904,0.7108433734939759,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,nearest_train,1,0,0.039165156378338076,0.8469961247097266,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.2121403059932279,,,,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,nearest_train,10,0,0.039165156378338076,0.8469961247097266,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.2121403059932279,,,,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,nearest_train,100,0,0.039165156378338076,0.8469961247097266,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.2121403059932279,,,,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,search_ceiling,0,20000,0.007873762666935966,0.37977174563797267,0.9833333333333333,0.9833333333333333,0.7951807228915663,0.8313253012048193,0.1732604486955195,0.2121403059932279,,,,0.7813253012048192,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,random,1,1,0.0881859954055583,1.207278729650932,0.5003333333333333,0.5533333333333332,0.5014457831325302,0.8313253012048188,0.02335602302480901,0.194621561398478,,,,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,random,10,10,0.06479786656450733,1.0393084450410448,0.5566666666666665,0.59,0.49397590361445776,0.8313253012048193,0.019190954905382987,0.194621561398478,,,,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,random,100,100,0.05338679824825123,0.944623628749805,0.6333333333333333,0.6333333333333333,0.42168674698795183,0.8313253012048193,0.0,0.19462156139847797,,,,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator_T1.0,1,1,0.07157917513676014,1.0899521775520489,0.5465,0.5595,0.5846987951807229,0.8313253012048188,0.05277678317326139,0.194621561398478,1.0,5.74,0.94,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator_T1.0,10,10,0.05740212761130886,0.9791575883049182,0.5700000000000001,0.5766666666666667,0.6168674698795181,0.8313253012048193,0.05581045793225229,0.194621561398478,1.0,5.74,0.94,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator_T1.0,100,100,0.052700534674411596,0.9385326326309882,0.6,0.6,0.5903614457831325,0.8313253012048193,0.03925090652657226,0.19462156139847797,1.0,5.74,0.94,0.5596385542168675,0.7469879518072289,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator+filter_T1.0,1,1,0.06657752724232281,1.0528150152104305,0.5548333333333333,0.5665,0.5690361445783132,0.8313253012048188,0.05539664927953267,0.194621561398478,1.0,,,,,1000.0,0.006396716432240411
