target,holdout,teacher_layers,discrete_layers,target_ratio,D_c_search,D_c_refined,D_c_pool_grid,D_c_M8,A_x_M8,ratio_M8,D_c_M16,A_x_M16,ratio_M16,D_c_M32,A_x_M32,ratio_M32,D_c_M64,A_x_M64,ratio_M64
T4_s2_final,False,4,4,0.927710843373494,0.03216414537366137,0.026089749029612627,0.036047930287496116,0.041445637236031556,0.65,0.6987951807228916,0.03412750764231946,0.7833333333333333,0.6265060240963856,0.02673791549148261,0.7666666666666667,0.6385542168674698,0.026202032225434334,0.7833333333333333,0.6746987951807228
T4_s3_final,False,4,4,0.7951807228915663,0.026373434772841896,0.00257499381808375,0.07575958298141598,0.01444110258631353,0.9666666666666667,0.7710843373493976,0.007855787813560474,0.9833333333333333,0.8072289156626506,0.004239893569490844,0.9666666666666667,0.7469879518072289,0.0030429730348647496,1.0,0.7951807228915663
T4_s4_final,False,4,4,0.8313253012048193,0.01871542685935228,0.012850413959108842,0.03830365235472386,0.02279129336577643,0.8333333333333334,0.6385542168674698,0.015540607001375384,0.9,0.7349397590361446,0.013409483650933316,0.9166666666666666,0.7228915662650602,0.013194466752096297,0.9,0.7108433734939759
T4_s5_final,False,4,4,0.8795180722891566,0.021676315644567352,0.01704567872540535,0.02641093521986879,0.030874383778102754,0.7666666666666667,0.6385542168674698,0.024498469193045415,0.95,0.8192771084337349,0.02054231362878548,0.9333333333333333,0.8072289156626506,0.017290229643837075,0.9333333333333333,0.8072289156626506
T4_s6_final,False,4,4,0.8192771084337349,0.01631458009347824,0.009765711089080926,0.017301532596072134,0.018665922893001168,0.8,0.6506024096385542,0.015614369486977166,0.8166666666666667,0.6867469879518072,0.01010715117563578,0.8666666666666667,0.6987951807228916,0.00992398935626236,0.8833333333333333,0.7108433734939759
T4_s7_final,True,4,4,0.8554216867469879,0.018486574869782446,0.01431585318715259,0.03520005412909523,0.02479536396301978,0.6833333333333333,0.6265060240963856,0.01813931422291891,0.8333333333333334,0.6867469879518072,0.01587008240020165,0.85,0.7228915662650602,0.014460405886743894,0.9,0.7349397590361446
T4_s8_final,True,4,4,0.8674698795180723,0.024699567205275004,0.011315274492355955,0.02851162559004563,0.023549135486936712,0.8333333333333334,0.6987951807228916,0.017334577777767996,0.8166666666666667,0.7349397590361446,0.011880790525183453,0.85,0.7108433734939759,0.011501976092027522,0.8333333333333334,0.7469879518072289
T4_s9_final,True,4,4,0.8313253012048193,0.007873762517642251,0.0030743750346601735,0.020656275310402848,0.021295161134799526,0.9166666666666666,0.7228915662650602,0.00902421291750023,0.9666666666666667,0.8072289156626506,0.004504080940317859,0.9833333333333333,0.7951807228915663,0.003299507758829232,0.9833333333333333,0.7951807228915663
T4_s9_q25,True,4,4,0.8313253012048193,0.016508759262619657,0.0080493363825676,0.035906264401151945,0.0403175117347725,0.8166666666666667,0.6746987951807228,0.013330771151200458,0.8833333333333333,0.6987951807228916,0.010339365942657856,0.9833333333333333,0.7951807228915663,0.008426545196666052,0.9333333333333333,0.7108433734939759
T4_s9_q50,True,4,4,0.8313253012048193,0.02057172795864254,0.007028849003590557,0.06752469761555234,0.019914993696820704,0.9,0.7349397590361446,0.014968981681347682,0.9166666666666666,0.7469879518072289,0.008296329178846849,0.9166666666666666,0.7228915662650602,0.007291058295737412,0.9666666666666667,0.7831325301204819
T8_s0_final,False,8,4,0.9518072289156626,0.02935517583473337,0.019991935242164204,0.03796208439176939,0.029630185963090715,0.8333333333333334,0.6867469879518072,0.026532677934825447,0.7833333333333333,0.6746987951807228,0.021191029736735374,0.8666666666666667,0.7590361445783133,0.02010961896785599,0.85,0.7469879518072289
T8_s0_q25,False,8,4,0.891566265060241,0.02395600568551683,0.01421995587641341,0.0464124885728793,0.03458177375198378,0.7333333333333333,0.6506024096385542,0.016751740716872777,0.9166666666666666,0.7831325301204819,0.01539912069776592,0.8833333333333333,0.7590361445783133,0.014463539902445784,0.9,0.7469879518072289
T8_s0_q50,False,8,4,0.9518072289156626,0.04117102963002039,0.016070982068655863,0.053082662815011554,0.02526225080930037,0.75,0.6987951807228916,0.02152167356120832,0.8166666666666667,0.7228915662650602,0.0180244274745124,0.8166666666666667,0.7469879518072289,0.016467159591141308,0.85,0.7469879518072289
T8_s1_final,False,8,4,0.927710843373494,0.029235920396018914,0.020916266710813414,0.08689209506074737,0.03060443443708379,0.75,0.6746987951807228,0.023544559915263753,0.8833333333333333,0.8192771084337349,0.022202105019265925,0.8666666666666667,0.7831325301204819,0.021097589438226108,0.8666666666666667,0.8072289156626506
