family,instance,arm,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
er4,er4_m60_s0,es_transfer_dc,0,365,18260,1.3156381578148515,91.0,91.0,0.08216054612836445,0.004989934530866241,20,32,0.005624706391245127,599.0808612999972,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,370,18510,1.3156381578148515,91.0,91.0,0.08216054612836463,0.004989934530866248,20,34,0.005241589620709419,608.4508561000112,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,375,18760,1.3179578969199324,91.0,91.0,0.08447930094309114,0.002614020682382784,20,34,0.0068048229441046715,617.9912908999831,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,380,19010,1.3179578969199324,91.0,91.0,0.08447930094309114,0.002614020682382784,20,34,0.006945353467017412,623.2804787000059,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,385,19260,1.3185184177549794,91.0,91.0,0.08525090293545066,0.000882152214706524,20,35,0.005069958511739969,632.8043748000055,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,390,19510,1.3185184177549794,91.0,91.0,0.08525090293545066,0.000882152214706524,20,35,0.0055052004754543304,642.3581290000002,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,395,19760,1.3185184177549794,91.0,91.0,0.08525090293545066,0.000882152214706524,20,35,0.004501128103584051,647.7672220999957,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,400,20010,1.3185184177549794,91.0,91.0,0.08525090293545066,0.000882152214706524,20,35,0.0050618406385183334,657.3744635999901,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,1,0,10,0.6521497513659937,50.0,58.7,0.07304383663338695,0.00098649445651193,20,35,,0.04599509999388829,0.5050505050505051,0.592929292929293
er4,er4_m60_s0,es_transfer_dc,1,5,260,1.0455810837302544,75.0,73.3,0.06662070636092676,0.0016134541164287697,20,37,0.010146093554794788,5.065850999963004,0.7575757575757576,0.7404040404040404
er4,er4_m60_s0,es_transfer_dc,1,10,510,1.1770555392371251,85.0,80.1,0.04512621882468228,0.00061594733600185,20,38,0.009681744500994682,14.162333899992518,0.8585858585858586,0.8090909090909091
er4,er4_m60_s0,es_transfer_dc,1,15,760,1.177577630402725,85.0,84.5,0.043953932436407855,0.0005803480486015773,20,38,0.00910717062652111,23.504786199948285,0.8585858585858586,0.8535353535353535
er4,er4_m60_s0,es_transfer_dc,1,20,1010,1.187443125250576,85.0,84.8,0.05520904150027228,0.0008276480025755026,20,36,0.008461820892989635,28.94431439996697,0.8585858585858586,0.8565656565656565
er4,er4_m60_s0,es_transfer_dc,1,25,1260,1.2052488559735974,86.0,85.0,0.05907666088835176,0.0025040599504703095,20,36,0.006842003203928471,38.44405909994384,0.8686868686868687,0.8585858585858586
er4,er4_m60_s0,es_transfer_dc,1,30,1510,1.2078565764150133,86.0,85.4,0.060195787074683746,0.001337266029683315,20,36,0.007727921009063721,48.02567179995822,0.8686868686868687,0.8626262626262626
er4,er4_m60_s0,es_transfer_dc,1,35,1760,1.2255216074607032,87.0,85.9,0.06525050235257299,0.0013372660296834538,20,37,0.006028059404343367,53.53966179996496,0.8787878787878788,0.8676767676767677
er4,er4_m60_s0,es_transfer_dc,1,40,2010,1.247375885970595,88.0,87.3,0.0720861005074998,0.00021041822257693993,20,37,0.006731437519192696,62.9712986999657,0.8888888888888888,0.8818181818181818
er4,er4_m60_s0,es_transfer_dc,1,45,2260,1.247974018536928,89.0,88.0,0.04401895813575652,0.000451169864530164,20,37,0.008701041340827942,72.43118169996887,0.898989898989899,0.8888888888888888
er4,er4_m60_s0,es_transfer_dc,1,50,2510,1.2623113792253668,89.0,88.5,0.06553116522488005,0.001375619748122038,20,37,0.006408913992345333,77.97653069999069,0.898989898989899,0.8939393939393939
er4,er4_m60_s0,es_transfer_dc,1,55,2760,1.2623113792253668,89.0,89.0,0.06553116522488005,0.001375619748122038,20,37,0.006324752699583769,87.5569961000001,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,60,3010,1.2623113792253668,89.0,89.0,0.06553116522488005,0.001375619748122038,20,37,0.006421644706279039,97.13854580000043,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,65,3260,1.2623113792253668,89.0,89.0,0.06553116522488005,0.001375619748122038,20,37,0.005045967176556587,102.75281219999306,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,70,3510,1.2632290743265993,89.0,89.0,0.0685916380205448,0.0006182365148957869,20,37,0.0058578625321388245,112.30533769994508,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,75,3760,1.2632290743265993,89.0,89.0,0.0685916380205451,0.0006182365148957418,20,35,0.006522888783365488,121.90074639994418,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,80,4010,1.2632290743265993,89.0,89.0,0.0685916380205451,0.0006182365148957418,20,35,0.006510118488222361,127.57408880000003,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,85,4260,1.263338031550133,89.0,89.0,0.06859163802054477,0.0017460542611566487,20,36,0.005373233463615179,136.93484189995797,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,90,4510,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.0052826860919594765,146.3621973999543,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,95,4760,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.004551050253212452,151.57721239997772,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,100,5010,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.005718979984521866,160.63377719995333,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,105,5260,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.0049545601941645145,169.60364619997563,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,110,5510,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.004526444710791111,174.67619099997682,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,115,5760,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.005154026672244072,183.76818449998973,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,120,6010,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.0051933350041508675,192.94404979998944,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,125,6260,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.004762907978147268,198.0568408999825,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,130,6510,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.004374176729470491,207.53635539999232,0.898989898989899,0.898989898989899
er4,er4_m60_s0,es_transfer_dc,1,135,6760,1.2633380315501332,89.0,89.0,0.06859163802054502,0.0017460542611562255,20,37,0.004348255228251219,217.16647059994284,0.898989898989899,0.898989898989899
