family,m,n,instance,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,858,13,reg3_m858_s0,0,480,24010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,605.1807575999992,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,485,24260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,611.4045896999887,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,490,24510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,617.7421536000038,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,495,24760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,623.9161337999976,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,500,25010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,630.0236659999937,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,505,25260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,636.1197259000037,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,510,25510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,642.2760047999909,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,515,25760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,648.5177075999964,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,520,26010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,654.8218680999998,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,525,26260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,660.8277864999836,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,530,26510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,666.8355867000064,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,535,26760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,672.969841699989,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,540,27010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,679.3452012999915,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,545,27260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,685.5688874000043,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,550,27510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,691.9316754000029,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,555,27760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,698.2139906999946,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,560,28010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,704.5502504000033,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,565,28260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,710.7292849000078,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,570,28510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,716.848465499992,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,575,28760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,723.0186596999993,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,580,29010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,729.2559791000094,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,585,29260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,735.351468799985,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,590,29510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,741.483730500011,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,595,29760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,747.7376179999846,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,600,30010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,753.9637887999997,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,605,30260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,760.019295999984,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,610,30510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,766.2195926999848,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,615,30760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,772.5151964999968,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,620,31010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,778.8275262000097,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,625,31260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,785.0763802999863,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,630,31510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,791.1825611999957,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,635,31760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,797.441021799983,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,640,32010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,803.7843836999964,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,645,32260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,810.2039100999827,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,650,32510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,816.3802851999935,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,655,32760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,822.5151444000076,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,660,33010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,828.7283735999954,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,665,33260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,835.0352319999947,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,670,33510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,841.1698109999998,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,675,33760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,847.5693412999972,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,680,34010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,853.992920699995,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,685,34260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,860.3113824999891,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,690,34510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,866.6610641999869,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,695,34760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,872.8075453999918,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,700,35010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,878.9249143000052,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,705,35260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,885.2778268999828,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,710,35510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,891.6424619999889,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,715,35760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,897.8745542000106,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,720,36010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,904.4384221000073,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,725,36260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,910.6355419000029,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,730,36510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,916.7902217000083,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,735,36760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,923.0517104000028,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,740,37010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,929.3727989000035,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,745,37260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,935.8182940999977,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,750,37510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,942.0646892999939,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,755,37760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,948.3700992999948,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,760,38010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,954.4482762999833,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,765,38260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,960.7381105000095,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,770,38510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,967.0935316999967,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,775,38760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,973.3992931999965,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,780,39010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,979.7555143999925,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,785,39260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,986.1528573000105,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,790,39510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,992.5432209999999,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,795,39760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,999.0872362999944,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,800,40010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1005.3576854999992,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,805,40260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1011.6279186999891,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,810,40510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1017.7331615999865,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,815,40760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1023.9197827999888,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,820,41010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1030.1205699999991,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,825,41260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1036.2942276000103,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,830,41510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1042.4121882999898,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,835,41760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1048.9393781999825,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,840,42010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1055.2143236999982,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,845,42260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,1061.3117390999978,0.6514767932489451,0.6514767932489451
