family,m,n,instance,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,60,6,reg3_m60_s0,0,375,18760,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,80.49659350002185,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,380,19010,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,81.45928420001292,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,385,19260,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,82.51325370001723,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,390,19510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,83.62984579999465,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,395,19760,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,84.67502450000029,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,400,20010,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,85.76097910001408,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,405,20260,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,86.79777210002067,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,410,20510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925555,20,37,87.94921780002187,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,415,20760,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,89.08429310002248,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,420,21010,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,90.1018946999975,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,425,21260,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925555,20,37,91.15287920000264,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,430,21510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925555,20,37,92.16423490000307,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,435,21760,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925555,20,37,93.24091700001736,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,440,22010,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,94.26965810000547,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,445,22260,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,95.29937700001756,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,450,22510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925555,20,37,96.42867839999963,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,455,22760,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,97.57649780000793,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,460,23010,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,98.61890200001653,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,465,23260,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924966,20,36,99.8091966000211,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,470,23510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,100.92065800001728,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,475,23760,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,102.51548630002071,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,480,24010,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,103.70539060002193,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,485,24260,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,104.8748691000219,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,490,24510,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,106.08627729999716,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,495,24760,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,107.22370289999526,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,500,25010,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,108.39851560001262,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,505,25260,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,109.53595190000487,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,510,25510,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,110.7116203000187,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,515,25760,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,111.84268240001984,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,520,26010,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,113.0263266999973,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,525,26260,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,114.15958600002341,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,530,26510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,115.31821920000948,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,535,26760,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,116.52033540001139,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,540,27010,1.2833544709320046,72.0,72.0,0.05145733456292078,0.0008249347670924723,20,37,117.666163100017,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,545,27260,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,118.95207540001138,0.8674698795180723,0.8674698795180723
