family,m,instance,method,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,60,reg3_m60_s1,es+pretrained,0,285,14260,1.3095531986783684,72.0,72.0,0.08273675956695739,0.0024214896179474282,20,38,0.0054726735688745975,304.4498644999694,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,290,14510,1.31079961092428,72.0,72.0,0.08197782350397748,0.002421489617947456,20,38,0.004983770661056042,307.79697189998114,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,295,14760,1.31079961092428,72.0,72.0,0.08197782350397748,0.002421489617947456,20,38,0.004591953009366989,313.62840519996826,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,300,15010,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.006043997127562761,319.5103143999586,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,305,15260,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.004960931371897459,322.9434307999909,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,310,15510,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.004159403499215841,328.7004223999684,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,315,15760,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.004744013771414757,334.53864939999767,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,320,16010,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.003974296618252993,337.8506664999877,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,325,16260,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.005438873078674078,343.6633656999911,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,330,16510,1.3116980770784246,72.0,72.0,0.08398182364310519,0.002421489617947456,20,39,0.004974628798663616,349.60618659999454,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,335,16760,1.3222232679581871,73.0,72.1,0.0711623814713216,0.003710112520658858,20,38,0.006187658756971359,352.9409601999796,0.9012345679012346,0.8901234567901234
reg3,60,reg3_m60_s1,es+pretrained,0,340,17010,1.3222232679581871,73.0,72.1,0.0711623814713216,0.003710112520658858,20,38,0.004738021641969681,358.7783718999708,0.9012345679012346,0.8901234567901234
