family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10610,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10660,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10710,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10760,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10810,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10860,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10910,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10960,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11010,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11060,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11110,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11160,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11210,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11260,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11310,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11360,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11410,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11460,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11510,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11560,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11610,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11660,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11710,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11760,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11810,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11860,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11910,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,11960,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12010,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12060,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12110,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12160,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12210,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12260,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12310,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12360,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12410,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12460,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12510,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12560,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12610,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12660,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12710,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12760,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12810,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12860,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12910,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,12960,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13010,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13060,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13110,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13160,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13210,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13260,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13310,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13360,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13410,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13460,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13510,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13560,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13610,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13660,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,13710,0.8674698795180723
