instance_id,grid,config,m,optimum,arm,cost,gates,ceiling,vocab_size
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,ceil6x,-8.252681770679956,119,119,506
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil6x,-28.089248138806568,119,119,506
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,ceil6x,-33.2688007640227,119,119,506
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,-0.4314169239501244,ceil8x,-0.4314169239501244,33,159,506
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,ceil8x,-17.93790411528801,159,159,506
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,ceil8x,-5.693827835482802,159,159,506
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,ceil8x,-33.2688007640227,159,159,506
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,ceil8x,-7.092923820042806,159,159,506
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil8x,-28.25288047082668,159,159,506
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil3x_split5,-9.213061990675154,59,59,506
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,ceil3x_split5,-0.104489114121641,59,59,506
IEEE-118_v118_core_b5l9_001,IEEE-118,v118_core_b5l9,45,-25.42584549631278,ceil3x_split5,-25.425845496312515,59,59,506
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,ceil3x_split5,-16.078158496575792,59,59,506
IEEE-57_v57_core_b4l10_000,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil3x_split5,-24.19565398195581,59,59,506
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,-29.3172760507946,ceil3x_split5,-27.74544308784172,59,59,506
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil6x,-9.213061990675154,119,119,506
IEEE-57_v57_core_b4l10_000,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil6x,-22.407191555208563,119,119,506
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,ceil6x,-16.30306280167281,119,119,506
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,-29.3172760507946,ceil6x,-29.317276050794582,119,119,506
IEEE-118_v118_core_b5l9_001,IEEE-118,v118_core_b5l9,45,-25.42584549631278,ceil6x,-25.425845496312515,119,119,506
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,ceil6x,-0.104489114121641,119,119,506
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,ceil8x,-5.306622581715796,159,159,506
IEEE-57_v57_core_b4l10_000,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil8x,-24.46029490999153,159,159,506
IEEE-118_v118_core_b5l9_001,IEEE-118,v118_core_b5l9,45,-25.42584549631278,ceil8x,-25.425845496312515,159,159,506
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil8x,-9.213061990675154,159,159,506
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,ceil8x,-16.30306280167281,159,159,506
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,-29.3172760507946,ceil8x,-29.317276050794582,159,159,506
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,ceil3x_split5,-16.583268972729876,59,59,506
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_split5,-33.2688007640227,59,59,506
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,-22.13150435146947,ceil3x_split5,-22.131504351469125,59,59,506
IEEE-30_v30_core_b5l9_000,IEEE-30,v30_core_b5l9,45,-9.274977316582069,ceil3x_split5,-9.274977316582069,59,59,506
IEEE-57_v57_core_b4l10_001,IEEE-57,v57_core_b4l10,40,-24.124578397949808,ceil3x_split5,-24.124578397949804,59,59,506
IEEE-57_v57_core_b5l9_002,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil3x_split5,-28.09067148310318,59,59,506
IEEE-57_v57_core_b5l9_002,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil6x,-28.596685521791528,119,119,506
IEEE-57_v57_core_b4l10_001,IEEE-57,v57_core_b4l10,40,-24.124578397949808,ceil6x,-24.124578397949804,119,119,506
IEEE-30_v30_core_b5l9_000,IEEE-30,v30_core_b5l9,45,-9.274977316582069,ceil6x,-9.274977316582069,33,119,506
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,ceil6x,-16.583268972729876,119,119,506
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,-22.13150435146947,ceil6x,-22.131504351469125,119,119,506
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,ceil6x,-33.2688007640227,119,119,506
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,-22.13150435146947,ceil8x,-22.131504351469125,159,159,506
IEEE-57_v57_core_b5l9_002,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil8x,-28.596685521791528,159,159,506
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,ceil8x,-16.583268972729876,159,159,506
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,ceil8x,-33.2688007640227,159,159,506
IEEE-57_v57_core_b4l10_001,IEEE-57,v57_core_b4l10,40,-24.124578397949808,ceil8x,-24.124578397949804,159,159,506
IEEE-30_v30_core_b5l9_000,IEEE-30,v30_core_b5l9,45,-9.274977316582069,ceil8x,-9.274977316582069,33,159,506
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,-11.222413584011,ceil3x_split5,-8.21721436246806,59,59,506
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,ceil3x_split5,0.0,59,59,506
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,ceil6x,0.0,33,119,506
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,-11.222413584011,ceil6x,-8.21721436246806,119,119,506
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,-11.222413584011,ceil8x,-8.21721436246806,159,159,506
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,ceil8x,0.0,33,159,506
IEEE-118_v118_core_b4l10_002,IEEE-118,v118_core_b4l10,40,-16.727061104747143,ceil3x_split5,-16.26647432590338,59,59,506
IEEE-57_v57_core_b4l10_002,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil3x_split5,-24.46029490999153,59,59,506
IEEE-57_v57_core_b4l10_002,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil6x,-22.407191555208563,119,119,506
IEEE-118_v118_core_b4l10_002,IEEE-118,v118_core_b4l10,40,-16.727061104747143,ceil6x,-16.26647432590338,119,119,506
IEEE-57_v57_core_b4l10_002,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil8x,-24.46029490999153,159,159,506
IEEE-118_v118_core_b4l10_002,IEEE-118,v118_core_b4l10,40,-16.727061104747143,ceil8x,-16.26647432590338,95,159,506
IEEE-30_v30_core_b4l10_000,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil3x_split5,-9.213061990675154,59,59,506
IEEE-14_core_b4l10_000,IEEE-14,core_b4l10,40,-1.2482096159673952,ceil3x_split5,-0.7268472967002741,59,59,506
IEEE-30_v30_core_b4l10_000,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil6x,-7.5181120042008995,119,119,506
IEEE-14_core_b4l10_000,IEEE-14,core_b4l10,40,-1.2482096159673952,ceil6x,-1.2482096159673992,119,119,506
