instance_id,grid,B,L,m_base,m_extended,qubits_base,qubits_extended,capacity,extra_qubits,gqe_cost,mip_cost,exact_match,mip_ms,mip_status,n_sites,total_mw,total_mwh,n_islanded,islanded_buses,islanded_and_sited,local_served_mw,max_exposure_mw,plan,levels
IEEE-14_core_b4l10_005,IEEE-14,4,10,40,44,6,6,45,0,-11.986552133566253,-11.986552133566253,True,28.31244468688965,optimal,2,225.0,900.0,0,[],0,0.0,0.1626857260297382,"{9: 125.0, 4: 100.0}","[5, 0, 4, 0]"
IEEE-14_core_b4l10_007,IEEE-14,4,10,40,44,6,6,45,0,0.0,0.0,True,2.4061203002929688,optimal,0,0.0,0.0,0,[],0,0.0,0.0,{},"[0, 0, 0, 0]"
IEEE-14_core_b5l9_001,IEEE-14,5,9,45,50,6,7,63,1,0.0,0.0,True,7.639884948730469,optimal,0,0.0,0.0,0,[],0,0.0,0.0,{},"[0, 0, 0, 0, 0]"
IEEE-14_core_b5l9_003,IEEE-14,5,9,45,50,6,7,63,1,-1.217055601628796,-1.217055601628796,True,8.00013542175293,optimal,1,50.0,200.0,0,[],0,0.0,0.0,{11: 50.0},"[0, 0, 0, 0, 2]"
IEEE-14_core_b5l9_005,IEEE-14,5,9,45,50,6,7,63,1,-0.4586759842986492,-2.7862574241623617,False,10.186433792114258,optimal,2,150.0,600.0,0,[],0,0.0,0.0,"{4: 75.0, 11: 75.0}","[0, 0, 3, 0, 3]"
IEEE-14_core_b5l9_007,IEEE-14,5,9,45,50,6,7,63,1,-36.29107256327213,-36.29107256327213,True,28.37920188903809,optimal,2,300.0,1200.0,0,[],0,0.0,0.1836914433730027,"{9: 150.0, 10: 150.0}","[6, 6, 0, 0, 0]"
IEEE-30_v30_core_b4l10_001,IEEE-30,4,10,40,44,6,6,45,0,-6.8270413487775805,-7.092923820042806,False,20.108461380004883,optimal,2,225.0,900.0,0,[],0,0.0,0.0,"{8: 125.0, 27: 100.0}","[5, 0, 0, 4]"
IEEE-30_v30_core_b4l10_003,IEEE-30,4,10,40,44,6,6,45,0,-9.529155777470963,-9.529155777470963,True,20.71547508239746,optimal,2,250.0,1000.0,0,[],0,0.0,0.0,"{8: 125.0, 28: 125.0}","[5, 5, 0, 0]"
IEEE-30_v30_core_b4l10_005,IEEE-30,4,10,40,44,6,6,45,0,-5.797623406538703,-9.529155777470963,False,12.785196304321287,optimal,3,350.0,1400.0,0,[],0,0.0,0.0,"{8: 125.0, 28: 125.0, 27: 100.0}","[5, 5, 0, 4]"
IEEE-30_v30_core_b4l10_007,IEEE-30,4,10,40,44,6,6,45,0,-9.583061990675157,-9.583061990675157,True,21.51107788085937,optimal,2,225.0,900.0,1,[29],1,2.436815267392888,0.1282534351259414,"{8: 125.0, 29: 100.0}","[5, 0, 4, 0]"
