instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-30_v30_core_b4l10_007,IEEE-30,v30_core_b4l10,40,4,10,102,-9.529155777470962,-5.797623406538703,-9.529155777470965,-9.529155777470965,3.1706021523817576,3.1706021523817576,-9.529155777470965,False,True,True,False,False,True,3.7315323709322588,-3.552713678800501e-15,19
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,5,9,101,-17.937904115285356,-16.04773611816159,-17.35136443290997,-17.93790411528801,-10.240334808919787,-15.798079639541767,-17.93790411528801,False,False,True,False,False,True,1.8901679971237648,-2.653877118063974e-12,19
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,5,9,102,-17.937904115285356,-16.04773611816159,-17.35136443290997,-17.93790411528801,-10.240334808919787,-15.798079639541767,-17.93790411528801,False,False,True,False,False,True,1.8901679971237648,-2.653877118063974e-12,19
IEEE-57_v57_core_b4l10_009,IEEE-57,v57_core_b4l10,40,4,10,101,-25.101580996810515,-21.46361176923415,-24.970195423199144,-25.101580996810505,-15.562338925348136,-21.46361176923415,-24.086754037592026,False,False,True,False,False,False,3.6379692275763666,1.0148269592184889,19
IEEE-57_v57_core_b4l10_009,IEEE-57,v57_core_b4l10,40,4,10,102,-25.101580996810515,-23.90098681431855,-24.970195423199144,-25.101580996810505,-15.562338925348136,-21.46361176923415,-24.086754037592026,False,False,True,False,False,False,1.2005941824919653,1.0148269592184889,19
IEEE-30_v30_core_b4l10_008,IEEE-30,v30_core_b4l10,40,4,10,101,0.0,1.5,0.0,0.0,0.0,0.0,0.0,False,True,True,True,True,True,1.5,0.0,19
IEEE-30_v30_core_b4l10_008,IEEE-30,v30_core_b4l10,40,4,10,102,0.0,1.5,0.0,0.0,0.0,0.0,0.0,False,True,True,True,True,True,1.5,0.0,19
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,4,10,101,-7.0929238200428,-3.5072484989255486,-6.8270413487775805,-6.519111924303157,5.697788330059332,-3.5072484989255486,-7.092923820042806,False,False,False,False,False,True,3.585675321117251,-6.217248937900877e-15,19
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,4,10,102,-7.0929238200428,-6.8270413487775805,-6.8270413487775805,-6.519111924303157,5.697788330059332,-3.5072484989255486,-7.092923820042806,False,False,False,False,False,True,0.26588247126521924,-6.217248937900877e-15,19
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,5,9,101,-22.13150435146947,-22.131504351469125,-21.99297494596872,-21.882753748160283,-18.340109396598873,-22.131504351469125,-22.131504351469125,True,False,False,False,True,True,3.446132268436486e-13,3.446132268436486e-13,19
