target,family,method,run,ratio_raw,ratio_ls,median_abs_corr,rescore_best,hit_0.8,hit_0.85,hit_0.9,prior_mean,prior_max,prior_median_abs_corr,random_mean,random_max,random_median_abs_corr
reg3_m60_s8,reg3,prior_init,1,0.8674698795180723,0.927710843373494,0.0416736016412074,0.7590361445783133,810.0,3060.0,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
reg3_m60_s8,reg3,prior_prop,1,0.8795180722891566,0.9397590361445783,0.12406747779231153,0.7590361445783133,810.0,3260.0,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
reg3_m60_s8,reg3,db_rescore,1,0.8554216867469879,0.927710843373494,0.115483397214002,0.7590361445783133,1560.0,5260.0,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
er4_m60_s6,er4,cold,0,0.8514851485148515,0.8811881188118812,0.10439832474306363,0.8316831683168316,560.0,8060.0,,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,prior_init,0,0.8613861386138614,0.9207920792079208,0.12363840980626349,0.8316831683168316,760.0,1560.0,,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,prior_prop,0,0.8910891089108911,0.9306930693069307,0.11094079898537072,0.8316831683168316,410.0,1310.0,,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,db_rescore,0,0.9504950495049505,0.9801980198019802,0.10922234445634466,0.8316831683168316,10.0,160.0,1560.0,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,cold,1,0.8613861386138614,0.8811881188118812,0.11808919869608084,0.8316831683168316,760.0,2110.0,,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,prior_init,1,0.8910891089108911,0.9306930693069307,0.0810740725619741,0.8316831683168316,460.0,2510.0,,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,prior_prop,1,0.9306930693069307,0.9801980198019802,0.09274063252490339,0.8316831683168316,660.0,660.0,1510.0,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s6,er4,db_rescore,1,0.9702970297029703,0.9801980198019802,0.09469647382620436,0.8316831683168316,10.0,210.0,560.0,0.5930495049504951,0.7623762376237624,0.05452283988269606,0.5909702970297029,0.7722772277227723,0.05114928835225478
er4_m60_s7,er4,cold,0,0.8686868686868687,0.9191919191919192,0.11973040434698287,0.8383838383838383,460.0,12260.0,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
