target,family,method,run,evaluations,ratio
reg3_m60_s6,reg3,cold,0,10010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11710,0.9135802469135802
